Year,Age,Sex,PA_3cat,mu,sigma,nu,tau
1995,23,1,3,20.6846277516983,0.119436777104885,-2.15516821881941,16.0619010505519
1995,24,0,1,21.2836353080205,0.11681107293634,-1.4967015949519,9.85522154691037
1995,24,0,2,21.6926154113875,0.103800134929173,-1.6514899468525,8.09928057615413
1995,24,0,3,21.6009747339204,0.104105569859807,-1.46932306673703,6.47703281729472
1995,24,1,1,20.4659010798736,0.134402827581561,-2.15080990423785,24.9218756588283
1995,24,1,2,20.8591678417783,0.119432441524028,-2.30559825613845,20.4814536623134
1995,24,1,3,20.7710480721622,0.119783874973678,-2.12343137602298,16.3791149435271
1995,25,0,1,21.3712069802893,0.117141504631027,-1.46428377303939,10.0498568306719
1995,25,0,2,21.7818698352661,0.104093761668755,-1.61907212493999,8.25923697750956
1995,25,0,3,21.6898521015651,0.104400060604652,-1.43690524482452,6.60495070471373
1995,25,1,1,20.5501081787134,0.134783022309442,-2.11839208232534,25.4140691947765
1995,25,1,2,20.9449930395701,0.11977028846834,-2.27318043422595,20.8859512706561
1995,25,1,3,20.8565107005212,0.120122716042498,-2.09101355411047,16.7025935857496
1995,26,0,1,21.4575378594001,0.117462860587266,-1.43097262576315,10.2483359615381
1995,26,0,2,21.8698596232686,0.104379323566094,-1.58576097766375,8.4223523536322
1995,26,0,3,21.777470175801,0.104686462776219,-1.40359409754828,6.7353948391301
1995,26,1,1,20.633122156657,0.135152774492115,-2.0850809350491,25.9159830479328
1995,26,1,2,21.029602189804,0.12009885600468,-2.2398692869497,21.2984372916372
1995,26,1,3,20.9407624185275,0.120452250398415,-2.05770240683423,17.0324605991773
1995,27,0,1,21.5423648541542,0.11777411761275,-1.39655479936596,10.4507347868373
1995,27,0,2,21.9563166287132,0.104655911396603,-1.55134315126656,8.58868903785381
1995,27,0,3,21.8635619427346,0.104963864474503,-1.36917627115109,6.86841506880276
1995,27,1,1,20.7146900306793,0.135510906844452,-2.05066310865191,26.4278090209554
1995,27,1,2,21.1127374482072,0.120417097979183,-2.20545146055251,21.7190693537314
1995,27,1,3,21.0235464711743,0.120771428809229,-2.02328458043704,17.3688420400441
1995,28,0,1,21.6254289957065,0.118074266621867,-1.36081834953148,10.6571306475854
1995,28,0,2,22.040976906485,0.104922628471124,-1.51560670143208,8.75831059105775
1995,28,0,3,21.9478645722901,0.10523136637181,-1.33343982131661,7.00406222366946
1995,28,1,1,20.7945627817245,0.135856258312486,-2.01492665881743,26.9497426937376
1995,28,1,2,21.1941450106465,0.120723982661249,-2.16971501071804,22.1480081896454
1995,28,1,3,21.1046101265268,0.121079216508441,-1.98754813060256,17.7118664470521
1995,29,0,1,21.7068442761347,0.118363346809457,-1.32361985692871,10.8676023872854
1995,29,0,2,22.1239566391002,0.1051795096188,-1.47840820882931,8.93128180891087
1995,29,0,3,22.0304937561693,0.105489003399771,-1.29624132871384,7.14238812113011
1995,29,1,1,20.8728500222038,0.136188873993801,-1.97772816621466,27.4819834456611
1995,29,1,2,21.2739365958131,0.121019550125294,-2.13251651811526,22.5854176546049
1995,29,1,3,21.1840646313192,0.121375653688387,-1.95034963799979,18.0616648559972
1995,30,0,1,21.7872666005171,0.118642912033095,-1.28491379482796,11.0822303706354
1995,30,0,2,22.2059243353171,0.105427935621624,-1.43970214672856,9.10766873723827
1995,30,0,3,22.1121151790084,0.105738160403369,-1.25753526661309,7.28344557834205
1995,30,1,1,20.9501824567998,0.136510541757019,-1.93902210411391,28.0247345029044
1995,30,1,2,21.3527550278263,0.12130538909916,-2.09381045601451,23.0314647652349
1995,30,1,3,21.2625500940537,0.121662333751787,-1.91164357589904,18.4183708308607
1995,31,0,1,21.8674036627563,0.118914650424102,-1.24466215470267,11.3010965396792
1995,31,0,2,22.2876012878768,0.105669406579324,-1.39945050660327,9.28753871816928
1995,31,0,3,22.1934470864399,0.105980341896419,-1.2172836264878,7.42728844912324
1995,31,1,1,21.0272405892515,0.136823203966136,-1.89877046398862,28.5782030804367
1995,31,1,2,21.4312938867854,0.121583225597686,-2.05355881588923,23.4863198162534
1995,31,1,3,21.3407571647934,0.12194098779233,-1.87139193577375,18.7821205571306
1995,32,0,1,21.9479733386488,0.119180267717466,-1.20282699895477,11.524284446926
1995,32,0,2,22.3697191670673,0.105905438234523,-1.35761535085537,9.47096041735609
1995,32,0,3,22.275218057803,0.106217068081661,-1.1754484707399,7.57397164571909
