sex,year,age,mu,sigma,nu,tau
men,30,32,25.8007779707263,0.127220359724677,-1.38511007202609,1.17563579088558
men,31,32,25.807483576647,0.127092936422902,-1.39935928592186,1.16461505485039
men,32,32,25.8141909253505,0.126965640747694,-1.41360849981763,1.15369763025204
men,33,32,25.8209000172896,0.126838472571223,-1.42785771371341,1.14288254862046
men,34,32,25.8276108529176,0.126711431765788,-1.44210692760918,1.13216885056429
men,35,32,25.8343234326874,0.126584518203813,-1.45635614150495,1.12155558568577
men,36,32,25.8410377570526,0.126457731757854,-1.47060535540074,1.11104181249643
men,37,32,25.8477538264664,0.12633107230059,-1.48485456929651,1.10062659833359
men,38,32,25.8544716413823,0.126204539704831,-1.49910378319229,1.09030901927757
men,39,32,25.8611912022542,0.126078133843512,-1.51335299708805,1.08008816006981
men,40,32,25.8679125095357,0.125951854589697,-1.52760221098383,1.06996311403162
men,41,32,25.8746355636807,0.125825701816578,-1.54185142487962,1.05993298298376
men,42,32,25.8813603651433,0.12569967539747,-1.55610063877539,1.0499968771668
men,43,32,25.8880869143775,0.125573775205819,-1.57034985267116,1.04015391516211
men,44,32,25.8948152118376,0.125448001115195,-1.58459906656693,1.03040322381378
men,45,32,25.9015452579779,0.125322352999298,-1.59884828046271,1.02074393815108
men,46,32,25.9082770532531,0.12519683073195,-1.61309749435849,1.01117520131175
men,47,32,25.9150105981175,0.125071434187102,-1.62734670825426,1.001696164466
men,48,32,25.9217458930261,0.124946163238833,-1.64159592215004,0.992305986741209
men,49,32,25.9284829384335,0.124821017761344,-1.65584513604581,0.983003835147324
men,50,32,25.9352217347948,0.124695997628964,-1.67009434994159,0.973788884502974
women,-1,33,23.7511799646914,0.164190170755853,-1.67173202868488,2.36182051023735
women,0,33,23.7001877413022,0.164242816510307,-1.67561402073339,2.34634001165377
women,1,33,23.6493049948674,0.164295479145037,-1.67949601278189,2.33096097964454
women,2,33,23.5985314903472,0.164348158665456,-1.6833780048304,2.31568274914933
